Order	amountCrates
0	2
1	2
2	2
3	2
4	2
5	2
6	3
7	3
8	3
9	2
10	1
11	2
12	2
13	2
14	3
15	3
16	2
17	2
18	2
19	1
20	1
21	2
22	3
23	1
24	2
25	2
26	2
27	2
28	2
29	2
30	2
31	1
32	3
33	2
34	1
35	2
36	1
37	4
38	2
39	1
40	1
41	3
42	2
43	2
44	2
45	4
46	3
47	4
48	4
49	2
50	2
51	3
52	3
53	2
54	3
55	3
56	2
57	1
58	1
59	3
60	3
61	2
62	2
63	2
64	1
65	2
66	2
67	2
68	3
69	1
70	2
71	3
72	3
73	1
74	2
75	3
76	2
77	2
78	2
79	3
80	3
81	3
82	3
83	3
84	2
85	1
86	2
87	3
88	3
89	5
90	2
91	3
92	3
93	3
94	2
95	2
96	2
97	1
98	2
99	2
100	2
101	2
102	1
103	1
104	2
105	1
106	2
107	2
108	1
109	3
110	2
111	2
112	1
113	2
114	1
115	2
116	2
117	2
118	2
119	3
120	1
121	1
122	1
123	3
124	6
125	2
126	3
127	2
128	3
129	2
130	4
131	1
132	1
133	2
134	1
135	2
136	2
137	1
138	3
139	3
140	1
141	2
142	3
143	2
144	2
145	4
146	2
147	1
148	2
149	2
150	4
151	2
152	3
153	1
154	3
155	3
156	2
157	3
158	4
159	2
160	1
161	5
162	3
163	2
164	2
165	2
166	2
167	2
168	3
169	3
170	1
171	3
172	3
173	3
174	3
175	2
176	2
177	5
178	1
179	3
180	2
181	2
182	2
183	3
184	2
185	2
186	3
187	1
188	3
189	2
190	2
191	2
192	2
193	1
194	3
195	2
196	2
197	3
198	2
199	3
200	3
201	2
202	1
203	4
204	1
205	2
206	2
207	2
208	3
209	2
210	2
211	2
212	2
213	2
214	2
215	2
216	2
217	2
218	3
219	2
220	2
221	2
222	3
223	2
224	2
225	2
226	2
227	1
228	2
229	3
230	2
231	2
232	2
233	3
234	5
235	2
236	2
237	1
238	2
239	2
240	2
241	1
242	2
243	2
244	5
245	3
246	3
247	1
248	3
249	2
250	4
251	2
252	2
253	2
254	1
255	1
256	5
257	2
258	3
259	2
260	1
261	3
262	1
263	1
264	2
265	2
266	5
267	2
268	3
269	3
270	3
271	2
272	2
273	3
274	2
275	3
276	4
277	2
278	2
279	2
280	2
281	4
282	2
283	1
284	3
285	2
286	2
287	1
288	1
289	2
290	2
291	2
292	2
293	2
294	2
295	2
296	3
297	4
298	3
299	2
300	3
301	4
302	2
303	3
304	3
305	3
306	3
307	1
308	2
309	2
310	3
311	2
312	3
313	1
314	2
315	3
316	4
317	3
318	2
319	2
320	1
321	3
322	2
323	2
324	1
325	4
326	3
327	3
328	3
329	6
330	2
331	2
332	2
333	3
334	2
335	3
336	4
337	1
338	2
339	3
340	2
341	1
342	2
343	2
344	2
345	3
346	2
347	2
348	1
349	3
350	4
351	2
352	2
353	2
354	1
355	4
356	2
357	2
358	5
359	3
360	3
361	2
362	1
363	2
364	3
365	2
366	4
367	2
368	2
369	3
370	2
371	2
372	1
373	4
374	3
375	2
376	1
377	2
378	2
379	2
380	5
381	4
382	2
383	2
384	3
385	2
386	3
387	3
388	2
389	3
390	4
391	1
392	2
393	2
394	3
395	2
396	4
397	3
398	2
399	3
400	2
401	4
402	3
403	3
404	2
405	2
406	2
407	7
408	2
409	1
410	2
411	2
412	2
413	2
414	2
415	2
416	2
417	3
418	2
419	2
420	3
421	1
422	3
423	2
424	3
425	2
426	2
427	3
428	4
429	3
430	1
431	2
432	2
433	3
434	3
435	2
436	2
437	2
438	2
439	3
440	2
441	2
442	2
443	4
444	3
445	3
446	2
447	3
448	3
449	3
450	2
451	2
452	3
453	3
454	3
455	1
456	1
457	2
458	4
459	5
460	3
461	2
462	2
463	3
464	3
465	2
466	4
467	4
468	1
469	3
470	2
471	2
472	2
473	2
474	2
475	3
476	2
477	2
478	3
479	3
480	2
481	4
482	2
483	2
484	2
485	1
486	1
487	2
488	4
489	2
490	1
491	3
492	2
493	3
494	2
495	2
496	2
497	3
498	1
499	2
500	2
501	1
502	2
503	2
504	5
505	2
506	4
507	2
508	2
509	2
510	2
511	2
512	1
513	2
514	2
515	3
516	2
517	3
518	2
519	2
520	3
521	2
522	3
523	2
524	3
525	3
526	3
527	4
528	2
529	2
530	2
531	2
532	2
533	2
534	2
535	3
536	2
537	1
538	2
539	5
540	2
541	3
542	3
543	2
544	3
545	3
